Timestamp,Value
1732579200000,90633
1732665600000,90633
1732752000000,90633
1732838400000,90633
1732924800000,90633
1733011200000,90633
1733097600000,90633
1733184000000,90633
1733270400000,90633
1733356800000,90633
1733443200000,90633
1733529600000,89704
1733616000000,89755
1733702400000,89755
1733788800000,89755
1733875200000,89755
1733961600000,89755
1734048000000,89755
1734134400000,89755
1734220800000,89755
1734307200000,89755
1734393600000,89755
1734480000000,89755
1734566400000,89755
1734652800000,89755
1734739200000,89755
1734825600000,89755
1734912000000,89755
1734998400000,89755
1735084800000,89755
1735171200000,89755
1735257600000,89755
1735344000000,89755
1735430400000,89755
1735516800000,89755
1735603200000,89755
1735689600000,89755
1735776000000,89755
1735862400000,89755
1735948800000,89755
1736035200000,89755
1736121600000,89755
1736208000000,89755
1736294400000,89755
1736380800000,89755
1736467200000,89755
1736553600000,89755
1736640000000,89755
1736726400000,89755
1736812800000,89755
1736899200000,89755
1736985600000,89755
1737072000000,89755
1737158400000,89755
1737244800000,89755
1737331200000,89755
1737417600000,360840
1737504000000,360840
1737590400000,360840
1737676800000,360840
1737763200000,360840
1737849600000,360840
1737936000000,361293
1738022400000,464410
1738108800000,468577
1738195200000,468577
1738281600000,468577
1738368000000,468577
1738454400000,468577
1738540800000,468577
1738627200000,470890
1738713600000,470890
1738800000000,579649
1738886400000,579649
1738972800000,579649
1739059200000,579649
1739145600000,579649
1739232000000,579649
1739318400000,579649
1739404800000,579649
1739491200000,579649
1739577600000,579649
1739664000000,579649
1739750400000,579649
1739836800000,579649
1739923200000,579649
1740009600000,579649
1740096000000,728445
1740182400000,731819
1740268800000,731819
