Timestamp,Value
1734652800000,24402599
1734739200000,31669031
1734825600000,54074052
1734912000000,36277472
1734998400000,36908469
1735084800000,34234077
1735171200000,36672526
1735257600000,71891203
1735344000000,73465342
1735430400000,72596993
1735516800000,75592763
1735603200000,78048442
1735689600000,78137612
1735776000000,77156112
1735862400000,72279297
1735948800000,71906579
1736035200000,71894869
1736121600000,71953547
1736208000000,74656304
1736294400000,75090889
1736380800000,74206882
1736467200000,74133766
1736553600000,74314261
1736640000000,76161979
1736726400000,76037333
1736812800000,74164761
1736899200000,75346471
1736985600000,75619320
1737072000000,76860165
1737158400000,76968829
1737244800000,76940037
1737331200000,76741944
1737417600000,76456329
1737504000000,76895495
1737590400000,76105918
1737676800000,76099193
1737763200000,76139359
1737849600000,76128754
1737936000000,76301094
1738022400000,76559481
1738108800000,76862982
1738195200000,76958934
1738281600000,76984236
1738368000000,76588642
1738454400000,76443917
1738540800000,74319668
1738627200000,75213531
1738713600000,75431365
1738800000000,76874411
1738886400000,76388586
1738972800000,76289180
1739059200000,76130181
1739145600000,76328419
1739232000000,96858455
1739318400000,96309250
1739404800000,96501745
1739491200000,98450178
1739577600000,98542216
1739664000000,99521790
1739750400000,98618750
1739836800000,98760016
1739923200000,98638506
1740009600000,100281550
1740096000000,100116261
1740182400000,80720689
1740268800000,80720689
