Timestamp,Value
1732579200000,7361349
1732665600000,7361349
1732752000000,7356321
1732838400000,7356321
1732924800000,7400420
1733011200000,7400819
1733097600000,7416866
1733184000000,7416866
1733270400000,7417681
1733356800000,7417681
1733443200000,7418678
1733529600000,7434717
1733616000000,7452882
1733702400000,7487707
1733788800000,7498537
1733875200000,7507449
1733961600000,7506116
1734048000000,7504380
1734134400000,7505749
1734220800000,6800476
1734307200000,7502495
1734393600000,7516588
1734480000000,7520659
1734566400000,6816463
1734652800000,6812761
1734739200000,7518034
1734825600000,6815799
1734912000000,7521072
1734998400000,7518662
1735084800000,7519058
1735171200000,7522597
1735257600000,7522597
1735344000000,6820821
1735430400000,7526094
1735516800000,7519058
1735603200000,7514451
1735689600000,7523691
1735776000000,7529727
1735862400000,6824198
1735948800000,6829184
1736035200000,7534457
1736121600000,7542821
1736208000000,7542821
1736294400000,7551367
1736380800000,7551367
1736467200000,7561088
1736553600000,7562635
1736640000000,6860220
1736726400000,7565493
1736812800000,7565374
1736899200000,7564564
1736985600000,6866448
1737072000000,6897622
1737158400000,6896557
1737244800000,7601830
1737331200000,7622033
1737417600000,7658708
1737504000000,7711808
1737590400000,7711808
1737676800000,8441865
1737763200000,8468815
1737849600000,7781786
1737936000000,8513434
1738022400000,8698841
1738108800000,7987572
1738195200000,9106556
1738281600000,10034303
1738368000000,9361809
1738454400000,10075249
1738540800000,10681602
1738627200000,11265294
1738713600000,11406082
1738800000000,10884970
1738886400000,14979145
1738972800000,15005211
1739059200000,15027957
1739145600000,15066137
1739232000000,15142534
1739318400000,15352418
1739404800000,15964899
1739491200000,16000799
1739577600000,16190405
1739664000000,16120940
1739750400000,16201318
1739836800000,16087851
1739923200000,16081202
1740009600000,15367433
1740096000000,19396630
1740182400000,19387401
1740268800000,19387401
