Timestamp,Value
1732579200000,9593824
1732665600000,9600395
1732752000000,9600395
1732838400000,9600643
1732924800000,9598771
1733011200000,9602720
1733097600000,9604237
1733184000000,9601994
1733270400000,9605796
1733356800000,9605796
1733443200000,9607779
1733529600000,9667809
1733616000000,9729689
1733702400000,9801149
1733788800000,9807317
1733875200000,9841765
1733961600000,9841765
1734048000000,9851516
1734134400000,9840340
1734220800000,9835735
1734307200000,9835427
1734393600000,9846083
1734480000000,9850407
1734566400000,9852047
1734652800000,9842595
1734739200000,9842595
1734825600000,9842129
1734912000000,9814387
1734998400000,9814387
1735084800000,9809782
1735171200000,9810670
1735257600000,9810670
1735344000000,9815424
1735430400000,9811162
1735516800000,9814882
1735603200000,9777072
1735689600000,9769572
1735776000000,9772086
1735862400000,9772086
1735948800000,9780583
1736035200000,9785620
1736121600000,9788972
1736208000000,9776569
1736294400000,9774929
1736380800000,9774929
1736467200000,9775790
1736553600000,9778710
1736640000000,9762403
1736726400000,9755832
1736812800000,9760763
1736899200000,9760763
1736985600000,9758580
1737072000000,9759578
1737158400000,9757544
1737244800000,9757544
1737331200000,9754111
1737417600000,9752128
1737504000000,9752980
1737590400000,9752734
1737676800000,9761162
1737763200000,9765767
1737849600000,9756720
1737936000000,9764894
1738022400000,9763684
1738108800000,9762081
1738195200000,9767050
1738281600000,9762197
1738368000000,9762813
1738454400000,9768351
1738540800000,10153310
1738627200000,10108030
1738713600000,10118810
1738800000000,10120067
1738886400000,10140199
1738972800000,10262687
1739059200000,10126455
1739145600000,10208952
1739232000000,11270069
1739318400000,11185717
1739404800000,11202190
1739491200000,11228750
1739577600000,11192720
1739664000000,11189599
1739750400000,11305231
1739836800000,11344586
1739923200000,14702766
1740009600000,15469205
1740096000000,15538283
1740182400000,16039158
1740268800000,16039158
