Die With A Smile
Lady Gaga, Bruno Mars
1732579200000,258087386
1732665600000,258187588
1732752000000,260153339
1732838400000,258234108
1732924800000,258472646
1733011200000,258682618
1733097600000,259319499
1733184000000,259284327
1733270400000,264185539
1733356800000,266093151
1733443200000,267687211
1733529600000,265061744
1733616000000,265251940
1733702400000,265311322
1733788800000,268017657
1733875200000,269163022
1733961600000,268664845
1734048000000,276121715
1734134400000,276176609
1734220800000,273596640
1734307200000,274038716
1734393600000,277008509
1734480000000,277492649
1734566400000,278551968
1734652800000,278383052
1734739200000,277882154
1734825600000,275719933
1734912000000,276394919
1734998400000,276940398
1735084800000,266944615
1735171200000,259338316
1735257600000,279034643
1735344000000,279244603
1735430400000,277795170
1735516800000,278237367
1735603200000,279789404
1735689600000,280265428
1735776000000,271295160
1735862400000,281482435
1735948800000,281965729
1736035200000,281768031
1736121600000,278702100
1736208000000,276376698
1736294400000,277951044
1736380800000,278483171
1736467200000,277770390
1736553600000,278474498
1736640000000,275460647
1736726400000,274283043
1736812800000,277160569
1736899200000,278415787
1736985600000,276179408
1737072000000,276656332
1737158400000,278133453
1737244800000,276249020
1737331200000,276209063
1737417600000,277186185
1737504000000,277167869
1737590400000,278018551
1737676800000,276011244
1737763200000,276254110
1737849600000,274517660
1737936000000,273230390
1738022400000,275577397
1738108800000,276860186
1738195200000,277834630
1738281600000,274195606
1738368000000,274416839
1738454400000,272739792
1738540800000,274008146
1738627200000,275451336
1738713600000,275792990
1738800000000,276362569
1738886400000,276451769
1738972800000,277241464
1739059200000,276854566
1739145600000,275991644
1739232000000,277168926
1739318400000,277941650
1739404800000,275853073
1739491200000,275183018
1739577600000,275778279
1739664000000,276094359
1739750400000,274827192
1739836800000,271680757
1739923200000,271848082
1740009600000,272302155
1740096000000,273193102
1740182400000,273370923
1740268800000,273024955
