Timestamp,Value
1732579200000,1312256
1732665600000,1312256
1732752000000,1312171
1732838400000,1503295
1732924800000,1509795
1733011200000,1511086
1733097600000,1616680
1733184000000,1618876
1733270400000,1595625
1733356800000,1602262
1733443200000,1607083
1733529600000,1615356
1733616000000,1630863
1733702400000,1661769
1733788800000,1698588
1733875200000,3078768
1733961600000,3080999
1734048000000,3131270
1734134400000,3127714
1734220800000,3104720
1734307200000,3134280
1734393600000,3134280
1734480000000,3141110
1734566400000,3151452
1734652800000,3181647
1734739200000,3140299
1734825600000,3177155
1734912000000,3178623
1734998400000,3152319
1735084800000,3151422
1735171200000,3206125
1735257600000,3225234
1735344000000,3253997
1735430400000,3220013
1735516800000,3229435
1735603200000,3242418
1735689600000,3269077
1735776000000,4505652
1735862400000,4504879
1735948800000,4528992
1736035200000,4528992
1736121600000,4510608
1736208000000,5079379
1736294400000,5083480
1736380800000,5083480
1736467200000,5115677
1736553600000,5109313
1736640000000,5126813
1736726400000,5239886
1736812800000,5133658
1736899200000,5133658
1736985600000,5172236
1737072000000,5182759
1737158400000,4988593
1737244800000,5130121
1737331200000,5170703
1737417600000,5170703
1737504000000,5686677
1737590400000,5730271
1737676800000,5730510
1737763200000,5734388
1737849600000,5784219
1737936000000,5755208
1738022400000,5724872
1738108800000,5721719
1738195200000,5725644
1738281600000,5765826
1738368000000,5688980
1738454400000,5689164
1738540800000,5689164
1738627200000,5700275
1738713600000,5718207
1738800000000,5722618
1738886400000,5871341
1738972800000,5782331
1739059200000,5775565
1739145600000,5794562
1739232000000,5759541
1739318400000,5758241
1739404800000,5815535
1739491200000,5763787
1739577600000,5815998
1739664000000,5809471
1739750400000,5758149
1739836800000,5817020
1739923200000,5865800
1740009600000,5868831
1740096000000,5871533
1740182400000,5820857
1740268800000,5872179
