Timestamp,Value
1732579200000,6672332
1732665600000,6672332
1732752000000,6671513
1732838400000,6671513
1732924800000,6672566
1733011200000,6672566
1733097600000,6674576
1733184000000,6674576
1733270400000,6669512
1733356800000,6668382
1733443200000,6678865
1733529600000,6710380
1733616000000,6762592
1733702400000,6852005
1733788800000,6856884
1733875200000,6924052
1733961600000,6924905
1734048000000,6929463
1734134400000,6992953
1734220800000,6943083
1734307200000,6954182
1734393600000,6975537
1734480000000,6972547
1734566400000,6974170
1734652800000,6975761
1734739200000,13204706
1734825600000,13206174
1734912000000,13379890
1734998400000,13375098
1735084800000,13370327
1735171200000,13395819
1735257600000,13397538
1735344000000,13397490
1735430400000,13437181
1735516800000,13434056
1735603200000,13434056
1735689600000,13412653
1735776000000,13414382
1735862400000,13410922
1735948800000,13409632
1736035200000,13418321
1736121600000,13450507
1736208000000,13472139
1736294400000,13434027
1736380800000,13434027
1736467200000,13445940
1736553600000,13453285
1736640000000,13446079
1736726400000,13453285
1736812800000,13440105
1736899200000,13440105
1736985600000,13444911
1737072000000,13444911
1737158400000,13448351
1737244800000,13448351
1737331200000,13451369
1737417600000,13451369
1737504000000,13461692
1737590400000,13481789
1737676800000,13478548
1737763200000,13456916
1737849600000,13456954
1737936000000,13457345
1738022400000,13451731
1738108800000,13517903
1738195200000,13459609
1738281600000,13456892
1738368000000,13458877
1738454400000,13457859
1738540800000,13457339
1738627200000,13466811
1738713600000,13480561
1738800000000,13459973
1738886400000,13459973
1738972800000,13478568
1739059200000,13461386
1739145600000,13555771
1739232000000,13496805
1739318400000,13499714
1739404800000,13521346
1739491200000,13508422
1739577600000,13516738
1739664000000,13626670
1739750400000,13554430
1739836800000,13573064
1739923200000,13582488
1740009600000,13580368
1740096000000,13738923
1740182400000,13799489
1740268800000,13799489
