Timestamp,Value
1732579200000,25656742
1732665600000,25722571
1732752000000,22208710
1732838400000,7076560
1732924800000,6668722
1733011200000,6723054
1733097600000,6589824
1733184000000,6594884
1733270400000,6596915
1733356800000,6585700
1733443200000,1340088
1733529600000,3174985
1733616000000,3178450
1733702400000,3297612
1733788800000,3301357
1733875200000,3286969
1733961600000,3287874
1734048000000,3022512
1734134400000,3032196
1734220800000,2888076
1734307200000,2941398
1734393600000,5014617
1734480000000,4980668
1734566400000,6797809
1734652800000,6894450
1734739200000,6893085
1734825600000,6875276
1734912000000,4792417
1734998400000,4846334
1735084800000,4845111
1735171200000,4806078
1735257600000,4875926
1735344000000,4844723
1735430400000,4803849
1735516800000,4844241
1735603200000,4885346
1735689600000,4808018
1735776000000,4807081
1735862400000,4810513
1735948800000,4811806
1736035200000,4821304
1736121600000,4852079
1736208000000,4851807
1736294400000,4844093
1736380800000,6943956
1736467200000,7706220
1736553600000,7704871
1736640000000,7731612
1736726400000,8043587
1736812800000,8077146
1736899200000,8046127
1736985600000,8095539
1737072000000,8259847
1737158400000,8269735
1737244800000,10321366
1737331200000,10336939
1737417600000,10336939
1737504000000,10440111
1737590400000,8373089
1737676800000,8400953
1737763200000,8420717
1737849600000,8422042
1737936000000,8423796
1738022400000,8427283
1738108800000,8453038
1738195200000,8457761
1738281600000,8442916
1738368000000,8445174
1738454400000,8457575
1738540800000,8724706
1738627200000,8706938
1738713600000,8707301
1738800000000,8754085
1738886400000,31622512
1738972800000,31626392
1739059200000,31591588
1739145600000,33050869
1739232000000,36936701
1739318400000,56373781
1739404800000,56684169
1739491200000,57211649
1739577600000,37334909
1739664000000,54510091
1739750400000,39806398
1739836800000,39757251
1739923200000,39854006
1740009600000,39816186
1740096000000,40258021
1740182400000,39978528
1740268800000,39978528
