Timestamp,Value
1732579200000,293
1732665600000,293
1732752000000,297
1732838400000,299
1732924800000,303
1733011200000,304
1733097600000,312
1733184000000,312
1733270400000,317
1733356800000,318
1733443200000,323
1733529600000,330
1733616000000,351
1733702400000,362
1733788800000,373
1733875200000,378
1733961600000,377
1734048000000,380
1734134400000,378
1734220800000,380
1734307200000,383
1734393600000,382
1734480000000,385
1734566400000,386
1734652800000,394
1734739200000,394
1734825600000,396
1734912000000,397
1734998400000,401
1735084800000,404
1735171200000,408
1735257600000,414
1735344000000,423
1735430400000,422
1735516800000,423
1735603200000,425
1735689600000,431
1735776000000,439
1735862400000,437
1735948800000,442
1736035200000,441
1736121600000,446
1736208000000,447
1736294400000,448
1736380800000,448
1736467200000,462
1736553600000,460
1736640000000,466
1736726400000,469
1736812800000,470
1736899200000,472
1736985600000,473
1737072000000,473
1737158400000,474
1737244800000,479
1737331200000,486
1737417600000,485
1737504000000,490
1737590400000,493
1737676800000,494
1737763200000,496
1737849600000,499
1737936000000,501
1738022400000,500
1738108800000,499
1738195200000,500
1738281600000,505
1738368000000,505
1738454400000,504
1738540800000,503
1738627200000,507
1738713600000,508
1738800000000,508
1738886400000,515
1738972800000,512
1739059200000,511
1739145600000,540
1739232000000,539
1739318400000,540
1739404800000,545
1739491200000,546
1739577600000,548
1739664000000,551
1739750400000,548
1739836800000,557
1739923200000,558
1740009600000,561
1740096000000,562
1740182400000,562
1740268800000,563
